[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
[SERVER-ISSUE] 500 on POST /api/bills — { 	"code": 500, 	"message": "Error creating bill" } 
