"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","126441","Create fresh invoice via API, then create receipt and link it","Sales","2026-04-14","failed","2026-04-14","Sales Receipt — Create Receipt & Verify in Customer Profile @regression","sales/sales-receipt-ui-flow.spec.ts","",""
"","7971","Security: Block Unauthorized Purchase Access","Purchases","2026-04-14","passed","2026-04-14","Purchase Negative API Tests @negative","purchase/purchase-negative-api.spec.ts","",""
"","63891","Find unpaid bill, create payment, approve, verify in vendor profile","Purchases","2026-04-14","passed","2026-04-14","Payment Cycle Flow @regression","purchase/payment-cycle.spec.ts","",""
"","245237","Create PO via UI, approve, create linked bill, verify in vendor profile","Purchases","2026-04-14","passed","2026-04-14","Purchase to Bill Flow @smoke","purchase/purchase-bill-ui-flow.spec.ts","",""
"","28236","Validate TIN, create customer, edit, remove","Sales","2026-04-14","passed","2026-04-14","Customer Lifecycle — Validation & CRUD @smoke","sales/customer.spec.ts","",""
"","100392","Create Invoice, Approve, then Create Credit Note and Verify Stock","Sales","2026-04-14","passed","2026-04-14","Sales — Credit Note (Return Flow) @regression","sales/credit-note.spec.ts","",""
"","7994","Block Creation: Missing Item ID in Line Item","Sales","2026-04-14","passed","2026-04-14","Sales Order Negative API Tests @negative","sales/sales-negative-api.spec.ts","",""
"","10829","State Violation: Block Invoicing a DRAFT SO","Sales","2026-04-14","passed","2026-04-14","Sales Order Negative API Tests @negative","sales/sales-negative-api.spec.ts","",""
"","8304","Block Creation: Empty Items List","Sales","2026-04-14","passed","2026-04-14","Sales Order Negative API Tests @negative","sales/sales-negative-api.spec.ts","",""
"","111742","Stage 1: Create bill via API, approve, verify stock increase","Purchases","2026-04-14","passed","2026-04-14","Bill Impact Flow @regression","purchase/bill-impact.spec.ts","",""
"","7117","Block Payment: Missing Cash Account","Purchases","2026-04-14","passed","2026-04-14","Purchase Negative API Tests @negative","purchase/purchase-negative-api.spec.ts","",""
"","8202","Boundary: Block Extreme Financial Inputs (Purchase)","Purchases","2026-04-14","passed","2026-04-14","Purchase Negative API Tests @negative","purchase/purchase-negative-api.spec.ts","",""
"","26798","Create Inventory Adjustment (Write-down), approve, verify stock deduction","Inventory","2026-04-14","passed","2026-04-14","Inventory Adjustment Flow @regression","inventory/inventory-adjustment.spec.ts","",""
"","25681","Validate TIN, create vendor, edit, remove","Purchases","2026-04-14","passed","2026-04-14","Vendor Lifecycle — Validation & CRUD","purchase/vendor.spec.ts","",""
"","7693","Block PO: Missing Vendor ID","Purchases","2026-04-14","passed","2026-04-14","Purchase Negative API Tests @negative","purchase/purchase-negative-api.spec.ts","",""
